Mã số thuế SOE1,Mã số thuế SOE2,Doanh thu,Ngành nghề kinh doanh chính,Địa chỉ,Thành Phố,Tên SOE2,Tên SOE1
0100109106,0500589150,1304310807387,"NÔNG NGHIỆP, LÂM NGHIỆP VÀ THUỶ SẢN","Khu Trung tâm, Khu CN cao Hòa Lạc, Km29, Đại lộ Thăng Long - Huyện Thạch Thất - Hà Nội",Hà Nội,Công ty TNHH VIETTEL - CHT,Tập đoàn Công nghiệp - Viễn thông quân đội
0100109106,2801045888,,Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính,Nam Đại lộ Lê Lợi - Phường Đông Hương - Thành phố Thanh Hoá - Thanh Hoá,Thanh Hoá,Công Ty TNHH Một Thành Viên Đầu Tư Công Nghệ Viettel,Tập đoàn Công nghiệp - Viễn thông quân đội
0101360697,0108222907,20439234019,Sản xuất sản phẩm điện tử dân dụng,"Tầng 1, Tòa nhà HH1, Khu đô thị Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Thành phố Hà Nội",Hà Nội,Công Ty TNHH Bkav Smarthome Global,Công ty Cổ Phần BKAV
0105140413,0105416171,225846453728,,,,,Công ty Cổ phần công nghệ công nghiệp bưu chính viễn thông
0100113303,0100113487,835652000,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0100237637,,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0100996345,,Hoạt động dịch vụ tài chính (trừ bảo hiểm và bảo hiểm xã hội),Số 120 Hàng Trống - Quận Hoàn Kiếm - Hà Nội,Hà Nội,Công Ty Tài Chính Tnhh Một Thành Viên Công Nghiệp Tàu Thủy,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0101815295,793800000,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0101999155,1593433636,"Sản xuất sắt, thép, gang","Khu 5 tầng, Phường Giếng Đáy, Thành phố Hạ Long, Tỉnh Quảng Ninh",Quảng Ninh,Công Ty TNHH Một Thành Viên Công Nghiệp Tàu Thuỷ Cái Lân,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0102024391,20032499093,Sản xuất máy chuyên dụng khác,Khu công nghiệp tàu thủy Lai Vu - Xã Lai Vu - Huyện Kim Thành - Hải Dương,Hải Dương,Công Ty TNHH Một Thành Viên Phát Triển Công Nghiệp Tàu Thủy,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0102024955,7497082963,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0102165113,,,,,,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0200158227,188992241242,Đóng tàu và cấu kiện nổi,Thôn Nghi - Xã Tam Hưng - Huyện Thuỷ Nguyên - Hải Phòng,Hải Phòng,Công Ty Trách Nhiệm Hữu Hạn Một Thành Viên Đóng Tàu Nam Triệu,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0200169116,0,"Bán buôn máy móc, thiết bị và phụ tùng máy khác",Số 4 Phan Đình Phùng - Phường Hạ Lý - Quận Hồng Bàng - Hải Phòng,Hải Phòng,Công Ty TNHH Một Thành Viên Xuất Nhập Khẩu Vật Tư Tàu Thuỷ,Tổng Công ty Công Nghiệp Tàu Thủy 
0100113303,0200726543,2831836266,Sản xuất các cấu kiện kim loại,Khu công nghiệp tàu thuỷ An Hồng - Xã An Hồng - Huyện An Dương - Hải Phòng,Hải Phòng,Công Ty TNHH Một Thành Viên Chế Tạo Động Cơ Diesel Bạch Đằng,Tổng Công ty Công Nghiệp Tàu Thủy 
